program,target_header,stage_name,data_element_name,source_value,dhis2_value,transform,notes,org_unit,source_concept_name,source_concept_uuid
Neonatal Care Form,KMC ward follow up sheet :: DLT or NLT kmc followup,KMC ward follow up sheet,DLT or NLT kmc followup,DLT,DLT,,,,DLT or NLT kmc followup,76c00914-0215-475a-af0c-f582a8097e9d
Neonatal Care Form,KMC ward follow up sheet :: DLT or NLT kmc followup,KMC ward follow up sheet,DLT or NLT kmc followup,NLT,NLT,,,,DLT or NLT kmc followup,76c00914-0215-475a-af0c-f582a8097e9d
Neonatal Care Form,KMC ward follow up sheet :: Feeding intolerance,KMC ward follow up sheet,Feeding intolerance,True,Yes,,,,Feeding intolerance,cc71a877-c5b0-42c4-b6ca-265b91fc4db2
Neonatal Care Form,KMC ward follow up sheet :: Feeding intolerance,KMC ward follow up sheet,Feeding intolerance,False,No,,,,Feeding intolerance,cc71a877-c5b0-42c4-b6ca-265b91fc4db2
Neonatal Care Form,KMC ward follow up sheet :: Fever ≥37.5,KMC ward follow up sheet,Fever ≥37.5,True,Yes,,,,Fever >=37.5,0f63de99-1833-4d25-9c48-3d919e256983
Neonatal Care Form,KMC ward follow up sheet :: Fever ≥37.5,KMC ward follow up sheet,Fever ≥37.5,False,No,,,,Fever >=37.5,0f63de99-1833-4d25-9c48-3d919e256983
Neonatal Care Form,KMC ward follow up sheet :: Floppy or stiff,KMC ward follow up sheet,Floppy or stiff,Floppy,Floppy,,,,Floppy or stiff,af1077ad-ecf4-4ca8-a719-0b27cd00727b
Neonatal Care Form,KMC ward follow up sheet :: Floppy or stiff,KMC ward follow up sheet,Floppy or stiff,Stiff,Stiff,,,,Floppy or stiff,af1077ad-ecf4-4ca8-a719-0b27cd00727b
Neonatal Care Form,KMC ward follow up sheet :: Mode of feeding kmc,KMC ward follow up sheet,Mode of feeding kmc,NG TUBE feeding,NG tube,,,,Mode of feeding?,d768cca5-4544-4667-a98c-2fcd5b1a6bc8
Neonatal Care Form,KMC ward follow up sheet :: Mode of feeding kmc,KMC ward follow up sheet,Mode of feeding kmc,Cup,Cup,,,,Mode of feeding?,d768cca5-4544-4667-a98c-2fcd5b1a6bc8
Neonatal Care Form,KMC ward follow up sheet :: Mode of feeding kmc,KMC ward follow up sheet,Mode of feeding kmc,Direct BF,Direct BF,,,,Mode of feeding?,d768cca5-4544-4667-a98c-2fcd5b1a6bc8
Neonatal Care Form,KMC ward follow up sheet :: Supplement kmc f,KMC ward follow up sheet,Supplement kmc f,Vit D,Vit D,,,,Supplement,913d5cf4-70da-4f92-8890-08d9fbbf063b
Neonatal Care Form,KMC ward follow up sheet :: Supplement kmc f,KMC ward follow up sheet,Supplement kmc f,Iron,Iron,,,,Supplement,913d5cf4-70da-4f92-8890-08d9fbbf063b
Neonatal Care Form,KMC ward follow up sheet :: Temperature < 36.5 or not raising after warming,KMC ward follow up sheet,Temperature < 36.5 or not raising after warming,True,Yes,,,,Temperature < 36.5 or not raising after warming,2bebf07d-b937-4878-996c-0e81c49717fe
Neonatal Care Form,KMC ward follow up sheet :: Temperature < 36.5 or not raising after warming,KMC ward follow up sheet,Temperature < 36.5 or not raising after warming,False,No,,,,Temperature < 36.5 or not raising after warming,2bebf07d-b937-4878-996c-0e81c49717fe
Neonatal Care Form,KMC ward follow up sheet :: Type of feed,KMC ward follow up sheet,Type of feed,EBM,EBM,,,,Type of feed,aa0e6b79-1839-49ff-8a77-aa5b4f3b2b57
Neonatal Care Form,KMC ward follow up sheet :: Type of feed,KMC ward follow up sheet,Type of feed,EBM+ Fortification,EBM+ Fortification,,,,Type of feed,aa0e6b79-1839-49ff-8a77-aa5b4f3b2b57
Neonatal Care Form,KMC ward follow up sheet :: Type of feed,KMC ward follow up sheet,Type of feed,Formula,Formula,,,,Type of feed,aa0e6b79-1839-49ff-8a77-aa5b4f3b2b57
Neonatal Care Form,KMC ward follow up sheet :: Type of feed,KMC ward follow up sheet,Type of feed,Mixed,Mixed,,,,Type of feed,aa0e6b79-1839-49ff-8a77-aa5b4f3b2b57
Neonatal Care Form,KMC ward follow up sheet :: Umbilicus draining pus,KMC ward follow up sheet,Umbilicus draining pus,True,Yes,,,,Umbilicus draining pus,60915565-f522-40e0-b0c8-f2f10e66c88e
Neonatal Care Form,KMC ward follow up sheet :: Umbilicus draining pus,KMC ward follow up sheet,Umbilicus draining pus,False,No,,,,Umbilicus draining pus,60915565-f522-40e0-b0c8-f2f10e66c88e
Neonatal Care Form,KMC ward follow up sheet :: Urine,KMC ward follow up sheet,Urine,Pass,Pass,,,,Urine exam,8042b2cd-00b8-42b5-9c59-c3ef07c971d5
Neonatal Care Form,KMC ward follow up sheet :: Urine,KMC ward follow up sheet,Urine,Not pass,Not pass,,,,Urine exam,8042b2cd-00b8-42b5-9c59-c3ef07c971d5
Neonatal Care Form,KMC ward follow up sheet :: Vaccination,KMC ward follow up sheet,Vaccination,True,Yes,,,,Vaccination,f3e9b611-39f8-4951-90e6-b4e4f53033a8
Neonatal Care Form,KMC ward follow up sheet :: Vaccination,KMC ward follow up sheet,Vaccination,False,No,,,,Vaccination,f3e9b611-39f8-4951-90e6-b4e4f53033a8
Neonatal Care Form,Medication sheet :: Frequency n,Medication sheet,Frequency n,Every other day,Daily,,,,Ordered medication frequency,a9873051-fcbd-4ca7-9302-5ea0c977a596
Neonatal Care Form,Medication sheet :: Frequency n,Medication sheet,Frequency n,BID,BID,,,,Ordered medication frequency,a9873051-fcbd-4ca7-9302-5ea0c977a596
Neonatal Care Form,Medication sheet :: Frequency n,Medication sheet,Frequency n,TID,TID,,,,Ordered medication frequency,a9873051-fcbd-4ca7-9302-5ea0c977a596
Neonatal Care Form,Medication sheet :: Frequency n,Medication sheet,Frequency n,QID,QID,,,,Ordered medication frequency,a9873051-fcbd-4ca7-9302-5ea0c977a596
Neonatal Care Form,Medication sheet :: Frequency n,Medication sheet,Frequency n,Every 4 hours,Every 4 hours,,,,Ordered medication frequency,a9873051-fcbd-4ca7-9302-5ea0c977a596
Neonatal Care Form,Medication sheet :: Medication route n,Medication sheet,Medication route n,Intravenous,IV,,,,Medication Adminstration route,bd8138ce-e940-4395-bccc-79f10e10051c
Neonatal Care Form,Medication sheet :: Medication route n,Medication sheet,Medication route n,per os,PO,,,,Medication Adminstration route,bd8138ce-e940-4395-bccc-79f10e10051c
Neonatal Care Form,Medication sheet :: Medication route n,Medication sheet,Medication route n,Intramuscular,IM,,,,Medication Adminstration route,bd8138ce-e940-4395-bccc-79f10e10051c
Neonatal Care Form,Neonatal referral form :: ANC Visit ref,Neonatal referral form,ANC Visit ref,True,Yes,,,,ANC Visit?,396e2119-c0ec-4198-888a-e7bccfb5d75d
Neonatal Care Form,Neonatal referral form :: ANC Visit ref,Neonatal referral form,ANC Visit ref,False,No,,,,ANC Visit?,396e2119-c0ec-4198-888a-e7bccfb5d75d
Neonatal Care Form,Neonatal referral form :: Baby placed in iKMC,Neonatal referral form,Baby placed in iKMC,True,Yes,,,,Baby placed in iKMC,116a6ce7-a9c4-4633-b1e1-29e28a064d71
Neonatal Care Form,Neonatal referral form :: Baby placed in iKMC,Neonatal referral form,Baby placed in iKMC,False,No,,,,Baby placed in iKMC,116a6ce7-a9c4-4633-b1e1-29e28a064d71
Neonatal Care Form,Neonatal referral form :: Baby placed in plastic bag,Neonatal referral form,Baby placed in plastic bag,True,Yes,,,,Baby placed in plastic bag,ef39ef01-c87e-42c4-906b-742293da73e9
Neonatal Care Form,Neonatal referral form :: Baby placed in plastic bag,Neonatal referral form,Baby placed in plastic bag,False,No,,,,Baby placed in plastic bag,ef39ef01-c87e-42c4-906b-742293da73e9
Neonatal Care Form,Neonatal referral form :: Baby placed on CPAP,Neonatal referral form,Baby placed on CPAP,True,Yes,,,,Baby placed on CPAP,0d7443a7-434d-46b0-a4a1-a12e7b1d1467
Neonatal Care Form,Neonatal referral form :: Baby placed on CPAP,Neonatal referral form,Baby placed on CPAP,False,No,,,,Baby placed on CPAP,0d7443a7-434d-46b0-a4a1-a12e7b1d1467
Neonatal Care Form,Neonatal referral form :: Baby placed skin to skin at birth,Neonatal referral form,Baby placed skin to skin at birth,True,Yes,,,,Baby placed skin to skin at birth,28186f46-8f9f-4e48-834f-2a77f8cfa72d
Neonatal Care Form,Neonatal referral form :: Baby placed skin to skin at birth,Neonatal referral form,Baby placed skin to skin at birth,False,No,,,,Baby placed skin to skin at birth,28186f46-8f9f-4e48-834f-2a77f8cfa72d
Neonatal Care Form,Neonatal referral form :: Bag and Mask,Neonatal referral form,Bag and Mask,True,Yes,,,,Bag and Mask,bc3b32a1-f76e-4d9a-a12f-ca29741a9bdd
Neonatal Care Form,Neonatal referral form :: Bag and Mask,Neonatal referral form,Bag and Mask,False,No,,,,Bag and Mask,bc3b32a1-f76e-4d9a-a12f-ca29741a9bdd
Neonatal Care Form,Neonatal referral form :: Ballard Score ref,Neonatal referral form,Ballard Score ref,True,Yes,,,,Ballard Score?,a814acb0-f335-4953-a463-c911565ac9c1
Neonatal Care Form,Neonatal referral form :: Ballard Score ref,Neonatal referral form,Ballard Score ref,False,No,,,,Ballard Score?,a814acb0-f335-4953-a463-c911565ac9c1
Neonatal Care Form,Neonatal referral form :: Chlorhexdine 4%,Neonatal referral form,Chlorhexdine 4%,True,Yes,,,,Chlorhexdine 4%,384ac4b4-c608-461d-b8e4-eb0ed0f58bc3
Neonatal Care Form,Neonatal referral form :: Chlorhexdine 4%,Neonatal referral form,Chlorhexdine 4%,False,No,,,,Chlorhexdine 4%,384ac4b4-c608-461d-b8e4-eb0ed0f58bc3
Neonatal Care Form,Neonatal referral form :: COOMB’S test ref,Neonatal referral form,COOMB’S test ref,Positive,Positive,,,,COOMBS test,368644ac-15be-400f-bc57-bd2fab62332f
Neonatal Care Form,Neonatal referral form :: Delayed Cord clamping done,Neonatal referral form,Delayed Cord clamping done,False,No,,,,Delayed Cord clamping done,47a1be7e-902c-4ee7-95aa-0526bc113897
Neonatal Care Form,Neonatal referral form :: Delayed Cord clamping done,Neonatal referral form,Delayed Cord clamping done,True,Yes,,,,Delayed Cord clamping done,47a1be7e-902c-4ee7-95aa-0526bc113897
Neonatal Care Form,Neonatal referral form :: Delivery attended by provider trained on HBB/ neonatal resuscitation,Neonatal referral form,Delivery attended by provider trained on HBB/ neonatal resuscitation,True,Yes,,,,Delivery attended by provider trained on HBB/ neonatal resuscitation,b0c05a49-4f64-4fbe-a88c-5c155b33c314
Neonatal Care Form,Neonatal referral form :: Delivery attended by provider trained on HBB/ neonatal resuscitation,Neonatal referral form,Delivery attended by provider trained on HBB/ neonatal resuscitation,False,No,,,,Delivery attended by provider trained on HBB/ neonatal resuscitation,b0c05a49-4f64-4fbe-a88c-5c155b33c314
Neonatal Care Form,Neonatal referral form :: Delivery n,Neonatal referral form,Delivery n,Normal delivery,SVD,,,,"PMTCT, Delivery",2e41171c-5cd5-4b70-ad40-b1dfa1f4bb6f
Neonatal Care Form,Neonatal referral form :: Delivery n,Neonatal referral form,Delivery n,Vaccum Delivery,Vacuum,,,,"PMTCT, Delivery",2e41171c-5cd5-4b70-ad40-b1dfa1f4bb6f
Neonatal Care Form,Neonatal referral form :: Delivery n,Neonatal referral form,Delivery n,Forceps Delivery,Forceps,,,,"PMTCT, Delivery",2e41171c-5cd5-4b70-ad40-b1dfa1f4bb6f
Neonatal Care Form,Neonatal referral form :: Delivery n,Neonatal referral form,Delivery n,Cesarean Section Delivery,Caesarean section,,,,"PMTCT, Delivery",2e41171c-5cd5-4b70-ad40-b1dfa1f4bb6f
Neonatal Care Form,Neonatal referral form :: Estimated by: Obstetric Ultrasound ref,Neonatal referral form,Estimated by: Obstetric Ultrasound ref,True,Yes,,,,Estimated by: Obstetric Ultrasound,dcb15dfe-5bec-4baf-b045-960b9a0dda36
Neonatal Care Form,Neonatal referral form :: Estimated by: Obstetric Ultrasound ref,Neonatal referral form,Estimated by: Obstetric Ultrasound ref,False,No,,,,Estimated by: Obstetric Ultrasound,dcb15dfe-5bec-4baf-b045-960b9a0dda36
Neonatal Care Form,Neonatal referral form :: Feeding initiated,Neonatal referral form,Feeding initiated,True,Yes,,,,Feeding initiated,18a02ac6-bd86-4ba0-9151-809f0b88103a
Neonatal Care Form,Neonatal referral form :: Feeding initiated,Neonatal referral form,Feeding initiated,False,No,,,,Feeding initiated,18a02ac6-bd86-4ba0-9151-809f0b88103a
Neonatal Care Form,Neonatal referral form :: If done tick what was done,Neonatal referral form,If done tick what was done,Supplemental oxygen,Supplemental oxygen,,,,If done tick what was done,5a1fbe92-8fb2-4d46-af8d-0b2c47331df5
Neonatal Care Form,Neonatal referral form :: If done tick what was done,Neonatal referral form,If done tick what was done,Bag mask ventilation,Bag mask ventilation,,,,If done tick what was done,5a1fbe92-8fb2-4d46-af8d-0b2c47331df5
Neonatal Care Form,Neonatal referral form :: If done tick what was done,Neonatal referral form,If done tick what was done,Chest compression,Chest compression,,,,If done tick what was done,5a1fbe92-8fb2-4d46-af8d-0b2c47331df5
Neonatal Care Form,Neonatal referral form :: If done tick what was done,Neonatal referral form,If done tick what was done,Intubation,Intubation,,,,If done tick what was done,5a1fbe92-8fb2-4d46-af8d-0b2c47331df5
Neonatal Care Form,"Neonatal referral form :: If yes, on HAART ref",Neonatal referral form,"If yes, on HAART ref",True,Yes,,,,"If yes, on HAART",ace5f1e7-e08d-4116-b999-7bd4b6ccaf7a
Neonatal Care Form,"Neonatal referral form :: If yes, on HAART ref",Neonatal referral form,"If yes, on HAART ref",False,No,,,,"If yes, on HAART",ace5f1e7-e08d-4116-b999-7bd4b6ccaf7a
Neonatal Care Form,Neonatal referral form :: Infant prophylaxis started ref,Neonatal referral form,Infant prophylaxis started ref,True,Yes,,,,Infant prophylaxis started,ad75af50-7cf9-433f-903c-764cf2131c10
Neonatal Care Form,Neonatal referral form :: Infant prophylaxis started ref,Neonatal referral form,Infant prophylaxis started ref,False,No,,,,Infant prophylaxis started,ad75af50-7cf9-433f-903c-764cf2131c10
Neonatal Care Form,Neonatal referral form :: Intra/Inter facility transfer,Neonatal referral form,Intra/Inter facility transfer,Inter facility transfer,Inter facility transfer,,,,Intra/Inter facility transfer,a9d86186-82f2-4f0f-af15-a5c31f292b58
Neonatal Care Form,Neonatal referral form :: Intra/Inter facility transfer,Neonatal referral form,Intra/Inter facility transfer,Intra facility transfer,Intra facility transfer,,,,Intra/Inter facility transfer,a9d86186-82f2-4f0f-af15-a5c31f292b58
Neonatal Care Form,Neonatal referral form :: LNMP uts ref,Neonatal referral form,LNMP uts ref,True,Yes,,,,LNMP uts,fd4224ed-77d8-4210-acc0-9ed2572a10f7
Neonatal Care Form,Neonatal referral form :: LNMP uts ref,Neonatal referral form,LNMP uts ref,False,No,,,,LNMP uts,fd4224ed-77d8-4210-acc0-9ed2572a10f7
Neonatal Care Form,Neonatal referral form :: Mother PICT ref,Neonatal referral form,Mother PICT ref,Negative,Negative,,,,Mother PICT,36fc9c84-5344-44a0-87ea-0900240a296f
Neonatal Care Form,Neonatal referral form :: Mother PICT ref,Neonatal referral form,Mother PICT ref,Positive,Positive,,,,Mother PICT,36fc9c84-5344-44a0-87ea-0900240a296f
Neonatal Care Form,Neonatal referral form :: Neonatal resuscitation done,Neonatal referral form,Neonatal resuscitation done,True,Yes,,,,Neonatal resuscitation done,6e740fed-37ac-4da7-8519-31c657e9f46b
Neonatal Care Form,Neonatal referral form :: Neonatal resuscitation done,Neonatal referral form,Neonatal resuscitation done,False,No,,,,Neonatal resuscitation done,6e740fed-37ac-4da7-8519-31c657e9f46b
Neonatal Care Form,Neonatal referral form :: Singleton-Multiple,Neonatal referral form,Singleton-Multiple,Singleton,Singleton,,,,Singleton-Multiple,b6853d20-00f3-4cab-81bf-c8ee17e80792
Neonatal Care Form,Neonatal referral form :: Singleton-Multiple,Neonatal referral form,Singleton-Multiple,Twin,Twin,,,,Singleton-Multiple,b6853d20-00f3-4cab-81bf-c8ee17e80792
Neonatal Care Form,Neonatal referral form :: Singleton-Multiple,Neonatal referral form,Singleton-Multiple,Triplet,Triplet,,,,Singleton-Multiple,b6853d20-00f3-4cab-81bf-c8ee17e80792
Neonatal Care Form,Neonatal referral form :: TT vaccine ref,Neonatal referral form,TT vaccine ref,True,Yes,,,,TT Vaccine,d7916e8b-7027-41b0-b95d-34e59e49a35b
Neonatal Care Form,Neonatal referral form :: TT vaccine ref,Neonatal referral form,TT vaccine ref,False,No,,,,TT Vaccine,d7916e8b-7027-41b0-b95d-34e59e49a35b
Neonatal Care Form,Neonatal referral form :: TTC Eye prophylaxis given,Neonatal referral form,TTC Eye prophylaxis given,True,Yes,,,,TTC Eye prophylaxis given,82d4b4d1-60a6-481d-b7f5-3048dae569ce
Neonatal Care Form,Neonatal referral form :: TTC Eye prophylaxis given,Neonatal referral form,TTC Eye prophylaxis given,False,No,,,,TTC Eye prophylaxis given,82d4b4d1-60a6-481d-b7f5-3048dae569ce
Neonatal Care Form,Neonatal referral form :: VDRL ref,Neonatal referral form,VDRL ref,Positive,Positive,,,,VDRL?,ff8521d4-83bf-4728-8883-7e10e447bdc5
Neonatal Care Form,Neonatal referral form :: VDRL ref,Neonatal referral form,VDRL ref,Negative,Negative,,,,VDRL?,ff8521d4-83bf-4728-8883-7e10e447bdc5
Neonatal Care Form,Neonatal referral form :: VDRL ref,Neonatal referral form,VDRL ref,Not Done,Not Done,,,,VDRL?,ff8521d4-83bf-4728-8883-7e10e447bdc5
Neonatal Care Form,NICU Admission Careform :: Admission age unit n,NICU Admission Careform,Admission age unit n,Minutes,Minutes,,,,Admission age unit n,e03dcbac-b50c-48fc-a500-ad7b236e3f77
Neonatal Care Form,NICU Admission Careform :: Admission age unit n,NICU Admission Careform,Admission age unit n,"ED Triage, Hours",Hours,,,,Admission age unit n,e03dcbac-b50c-48fc-a500-ad7b236e3f77
Neonatal Care Form,NICU Admission Careform :: Admission age unit n,NICU Admission Careform,Admission age unit n,Days,Days,,,,Admission age unit n,e03dcbac-b50c-48fc-a500-ad7b236e3f77
Neonatal Care Form,NICU Admission Careform :: ANC visit,NICU Admission Careform,ANC visit,Yes,Yes,,,,ANC Visist,2e206a4c-6b88-49e0-8bc4-c009bdd8085f
Neonatal Care Form,NICU Admission Careform :: ANC visit,NICU Admission Careform,ANC visit,No,No,,,,ANC Visist,2e206a4c-6b88-49e0-8bc4-c009bdd8085f
Neonatal Care Form,NICU Admission Careform :: Any abnormality from System Examination,NICU Admission Careform,Any abnormality from System Examination,ACIF SAE PE HEENT,HEENT,,,,Any abnormality from System Examination,8687686b-272c-4ae7-929b-5ec523bd79e6
Neonatal Care Form,NICU Admission Careform :: Any abnormality from System Examination,NICU Admission Careform,Any abnormality from System Examination,Neck,NECK,,,,Any abnormality from System Examination,8687686b-272c-4ae7-929b-5ec523bd79e6
Neonatal Care Form,NICU Admission Careform :: Any abnormality from System Examination,NICU Admission Careform,Any abnormality from System Examination,LGS,LGS,,,,Any abnormality from System Examination,8687686b-272c-4ae7-929b-5ec523bd79e6
Neonatal Care Form,NICU Admission Careform :: Any abnormality from System Examination,NICU Admission Careform,Any abnormality from System Examination,ACIF SAE PE HEENT,CHEST,,,,Any abnormality from System Examination,8687686b-272c-4ae7-929b-5ec523bd79e6
Neonatal Care Form,NICU Admission Careform :: Any abnormality from System Examination,NICU Admission Careform,Any abnormality from System Examination,Chest,CHEST,,,,Any abnormality from System Examination,8687686b-272c-4ae7-929b-5ec523bd79e6
Neonatal Care Form,NICU Admission Careform :: Any abnormality from System Examination,NICU Admission Careform,Any abnormality from System Examination,"Diabetes Follow up, CVS",CVS,,,,Any abnormality from System Examination,8687686b-272c-4ae7-929b-5ec523bd79e6
Neonatal Care Form,NICU Admission Careform :: Any abnormality from System Examination,NICU Admission Careform,Any abnormality from System Examination,Abdomen,Abdomen,,,,Any abnormality from System Examination,8687686b-272c-4ae7-929b-5ec523bd79e6
Neonatal Care Form,NICU Admission Careform :: Any abnormality from System Examination,NICU Admission Careform,Any abnormality from System Examination,GENITALIA,GENITALIA,,,,Any abnormality from System Examination,8687686b-272c-4ae7-929b-5ec523bd79e6
Neonatal Care Form,NICU Admission Careform :: Any abnormality from System Examination,NICU Admission Careform,Any abnormality from System Examination,Integumentary System,INTEGUMENTARY SYSTEM,,,,Any abnormality from System Examination,8687686b-272c-4ae7-929b-5ec523bd79e6
Neonatal Care Form,NICU Admission Careform :: Any abnormality from System Examination,NICU Admission Careform,Any abnormality from System Examination,ACIF SAE PE Musculoskeletal System,MUSCULOSKELETAL SYSTEM,,,,Any abnormality from System Examination,8687686b-272c-4ae7-929b-5ec523bd79e6
Neonatal Care Form,NICU Admission Careform :: Any abnormality from System Examination,NICU Admission Careform,Any abnormality from System Examination,CENTRAL NERVOUS SYSTEM,CENTRAL NERVOUS SYSTEM,,,,Any abnormality from System Examination,8687686b-272c-4ae7-929b-5ec523bd79e6
Neonatal Care Form,NICU Admission Careform :: APGAR score known,NICU Admission Careform,APGAR score known,True,Yes,,,,APGAR score known,e8600787-5469-4418-af09-bc0a3cdda912
Neonatal Care Form,NICU Admission Careform :: APGAR score known,NICU Admission Careform,APGAR score known,False,No,,,,APGAR score known,e8600787-5469-4418-af09-bc0a3cdda912
Neonatal Care Form,NICU Admission Careform :: Asphyxia,NICU Admission Careform,Asphyxia,True,Yes,,,,Asphyxia,3b2d76d6-f78c-455e-ace2-9448274bcd8c
